Created On,Machine User,Parts Area (m²),Number Of Parts,Cut Order,Oper_StartDate,ProductionWorkOrders,Processed,Cutting Log,State,Material,Cutting Log Representation,Cut Start,Cut End,Cut Time (s),Tool,Insert,Count
2022-01-06T17:27:03Z,admin,0.000000,0,,,,,67,Cut,,Images\1934.png,,,0,,,
2022-01-12T09:42:26Z,admin,2.857349,5,30,,0,0,68,Cut,,Images\1950.png,2022-01-12T09:42:27Z,2022-01-12T09:43:06Z,38,EOT,Z42,20
2022-01-12T09:43:09Z,admin,2.453756,4,30,,0,0,69,Cut,,Images\1951.png,2022-01-12T09:43:11Z,2022-01-12T09:43:21Z,9,EOT,Z42,18
2022-01-12T09:43:24Z,admin,3.507334,4,30,,0,0,70,Cut,,Images\1952.png,2022-01-12T09:43:25Z,2022-01-12T09:43:39Z,14,EOT,Z42,26
2022-01-12T09:44:19Z,admin,1.634236,2,30,,0,0,71,Cut,,Images\1953.png,2022-01-12T09:44:20Z,2022-01-12T09:44:27Z,6,EOT,Z42,16
2022-01-12T09:44:36Z,admin,3.535156,5,30,,0,0,72,Cut,,Images\1954.png,2022-01-12T09:44:37Z,2022-01-12T09:44:53Z,15,EOT,Z42,52
2022-01-12T09:45:36Z,admin,2.475793,3,30,,0,0,73,Cut,,Images\1955.png,2022-01-12T09:45:38Z,2022-01-12T09:45:48Z,10,EOT,Z42,29
2022-01-12T09:45:49Z,admin,3.652927,6,30,,0,0,74,Cut,,Images\1956.png,2022-01-12T09:45:51Z,2022-01-12T09:46:07Z,16,EOT,Z42,56
2022-01-12T09:46:09Z,admin,3.976934,7,30,,0,0,75,Cut,,Images\1957.png,2022-01-12T09:46:10Z,2022-01-12T09:46:27Z,16,EOT,Z42,42
2022-01-12T09:46:29Z,admin,2.621903,9,30,,0,0,76,Cut,,Images\1958.png,2022-01-12T09:46:31Z,2022-01-12T09:46:49Z,17,EOT,Z42,35
2022-01-12T09:46:51Z,admin,2.843660,7,30,,0,0,77,Cut,,Images\1959.png,2022-01-12T09:46:52Z,2022-01-12T09:47:06Z,14,EOT,Z42,28
2022-01-12T09:47:08Z,admin,3.372663,5,30,,0,0,78,Cut,,Images\1960.png,2022-01-12T09:47:10Z,2022-01-12T09:47:23Z,13,EOT,Z42,19
2022-01-12T09:47:25Z,admin,3.732851,11,30,,0,0,79,Cut,,Images\1961.png,2022-01-12T09:47:26Z,2022-01-12T09:47:47Z,20,EOT,Z42,43
2022-01-12T09:47:50Z,admin,3.963762,11,30,,0,0,80,Cut,,Images\1962.png,2022-01-12T09:47:51Z,2022-01-12T09:48:13Z,21,EOT,Z42,44
2022-01-12T09:48:15Z,admin,3.965684,10,30,,0,0,81,Cut,,Images\1963.png,2022-01-12T09:48:16Z,2022-01-12T09:48:36Z,20,EOT,Z42,39
2022-01-12T09:48:39Z,admin,3.179718,14,30,,0,0,82,Cut,,Images\1964.png,2022-01-12T09:48:41Z,2022-01-12T09:49:18Z,36,EOT,Z42,58
2022-01-12T09:49:21Z,admin,1.409515,13,30,,0,0,83,Cut,,Images\1965.png,2022-01-12T09:49:22Z,2022-01-12T09:49:43Z,20,EOT,Z42,51
2022-01-12T09:49:44Z,admin,1.490388,1,30,,0,0,84,Cut,,Images\1966.png,2022-01-12T09:49:45Z,2022-01-12T09:49:50Z,4,EOT,Z42,4
2022-01-12T09:49:52Z,admin,1.349723,1,30,,0,0,85,Cut,,Images\1967.png,2022-01-12T09:49:53Z,2022-01-12T09:49:58Z,4,EOT,Z42,4
2022-01-12T09:50:01Z,admin,1.011268,1,30,,0,0,86,Cut,,Images\1968.png,2022-01-12T09:50:03Z,2022-01-12T09:50:06Z,3,EOT,Z42,4
2022-01-12T09:50:09Z,admin,0.000000,0,,,,,87,Cut,,Images\1969.png,,,0,,,
2022-08-11T00:22:39Z,admin,5.504306,43,,,,,88,Aborted,61,Images\38430.png,2022-08-11T00:22:40Z,2022-08-11T00:23:01Z,50,DRT,Z53,254
